Total Household Income,Total Food Expenditure
480332,117848
198235,67766
82785,61609
107589,78189
189322,94625
152883,73326
198621,104644
134961,95644
171152,67348
625753,158721
147005,79530
253130,111250
101111,88523
128214,62262
91525,45487
171742,70892
95385,83790
142843,85370
88170,64705
97018,82534
123015,73459
100900,67830
153312,164860
96814,64696
91785,57112
83600,59819
84330,45509
164830,76151
87612,88484
96862,82647
65929,59898
114998,89896
217720,84335
98650,90927
169755,110405
143785,63907
105805,50424
129066,112070
154710,91008
203675,108043
186475,96915
104457,73997
119492,78073
304598,98445
824148,99064
169790,85448
132275,83528
559202,98107
111495,59255
977025,131485
272500,95406
677321,229370
205570,64202
350740,96601
206490,75031
113020,67121
740110,181926
281236,56971
100806,60160
410190,88966
730210,172404
113852,88017
132645,51139
301423,127743
143839,65989
301240,102906
117410,87743
152913,59310
86964,62023
226761,104427
153585,110631
96855,81985
264520,108109
241065,96505
121751,91575
135071,90942
239836,90669
67755,29066
148088,78662
255226,155045
175305,84355
98132,69946
144206,72478
125505,100518
67900,60543
84369,49085
121743,72244
166080,110462
372972,164802
300324,79540
168498,77667
68425,53517
151545,86841
138688,62562
96695,77461
379622,89011
147342,83950
174440,92792
223295,92989
106805,74452
101045,97535
101814,81093
109955,64116
391100,115092
111495,84215
160114,81805
145410,80552
166080,134812
149410,108269
123308,93550
280120,125385
117005,89572
114220,81598
298126,60346
485633,138744
92782,84402
136934,86715
50561,21156
109428,54897
133765,91565
128110,66834
111815,83929
92715,61157
146650,77453
293200,116176
179704,78527
152620,67808
72175,75561
105440,51361
130495,71274
130825,105283
77635,39704
111570,58107
121160,78639
96125,77282
379828,92768
146920,71753
214700,69690
239598,75131
69635,17781
116360,31647
181498,61150
148690,76530
129800,51564
163400,88741
72120,67218
259780,115255
104905,47168
63825,34183
120090,84796
301873,48761
116643,60154
183630,77020
115855,65344
164342,75244
155626,92403
65490,24028
125396,87336
145635,56417
188475,96122
107420,78178
116400,59311
164315,63163
491010,87892
113905,61535
62255,54527
98305,37688
117793,46384
329067,71267
148580,40210
164046,41911
312610,61587
134410,96729
541874,72496
125695,88944
78480,29889
163530,66330
162480,50381
151395,59989
95975,45212
77275,34475
96370,54271
1051758,238375
143650,102403
211703,124068
101290,77440
383617,124651
119143,93994
110848,84962
131847,88115
184738,67950
115140,85771
120690,102806
79995,63149
121986,76516
134555,76259
177364,128061
41138,22189
212782,127832
242970,105256
81836,62503
133045,91993
92955,62989
248250,104484
135597,85763
141000,104389
132053,90846
173621,62063
74843,36052
180521,71774
148243,98443
211154,93387
269702,27529
222351,103206
135602,47693
295225,112200
419138,65512
357946,104620
533840,111206
107867,39359
104656,47992
140329,60553
92719,54761
144398,83332
87069,62245
129628,153540
120140,67330
438261,100370
383498,77175
275729,126018
117904,65370
213286,80490
108801,47437
166275,66602
72826,55993
122335,89906
156865,50708
117841,55192
103260,48660
95622,47654
115450,32746
121453,58522
207425,108722
162723,102594
91835,59271
65220,58349
261545,76109
101515,69480
64113,55424
120500,79480
98429,78588
47420,24004
76455,86244
66030,39588
135875,67890
72695,34311
294886,99592
42265,27599
159545,30457
110775,54801
174155,53155
349579,63465
104895,46226
157759,76577
103545,51053
208074,89924
164464,74331
145666,79612
158977,94207
158061,68256
167888,87262
125284,79565
183770,83931
521338,145444
157183,85129
162125,42476
94526,63345
153195,48842
193810,90109
182344,64202
336128,77820
237680,82489
82946,52483
184632,87241
115317,69449
83838,75192
206668,31191
100004,54876
88411,68155
98304,74987
136952,85602
144470,92963
79984,63509
98648,45052
71260,52127
140033,70216
821833,169516
163014,73984
81900,38816
46160,26523
90330,39671
34935,15426
45482,20933
80651,38096
109764,55981
335426,87341
384167,88383
122035,57017
135150,54466
79815,23415
127335,46409
59458,18329
172268,84121
89510,36762
259070,71421
56966,47421
208273,89519
40444,27410
61523,48394
133156,75078
144686,95437
303605,58580
358410,72599
71898,56792
48170,34757
68145,62982
54480,27377
95228,46023
76920,36802
200648,99634
127332,86786
163508,111789
133016,50479
478701,118660
131699,103235
176618,83044
173995,75876
233100,132484
297366,103494
201271,82453
879038,156084
397440,170599
342207,74885
718238,180371
124140,57186
511900,166848
275938,104699
1107119,122507
327272,116225
242800,67405
647108,162785
352952,93499
212350,58678
755000,167138
297180,129340
243548,121377
375770,120955
50722,32554
30367,17618
152834,94653
92243,37572
85409,43050
67940,32955
108468,75333
370960,103719
90946,52563
23253,15129
172427,118463
59415,35895
106323,51626
221671,124464
95212,72330
89356,45735
1570874,220630
963550,34879
115208,54891
714506,144639
92319,69082
681291,110989
1044680,170469
379500,80405
342410,105485
234774,71125
310538,95994
130820,97088
323633,135102
112260,49360
380868,255846
241920,56243
108593,55720
164268,86030
230644,77006
287585,153658
294500,121076
141098,69811
176280,65935
67506,39894
93432,32139
71980,14529
84920,55045
159600,95680
162948,69812
168226,99627
76769,35410
139057,42834
350128,109248
277911,139049
68429,49817
419430,175659
299196,106288
88893,45549
148472,85140
136572,52245
116682,69185
109842,63182
189194,95113
193805,117348
176698,72389
371060,67835
218540,75920
206199,122592
122713,72625
161963,79023
141306,86565
59839,35812
61415,48811
29174,16663
92399,60926
104633,72262
116683,50153
100687,57724
81452,35564
89722,66817
95224,66427
78874,57693
212760,64805
314739,161834
101717,77194
181293,71960
301538,99617
74280,53561
126500,67646
217666,91666
206211,122827
169742,88877
134277,58216
129257,69469
209483,135702
112990,46873
202140,99962
29358,13848
335167,140208
134281,97845
540882,231330
224252,43190
80340,56463
138830,66097
225890,109306
453130,83440
150310,72682
1538900,525265
97615,34253
111876,77138
221760,98005
173848,67835
214630,96846
146110,64062
322000,130348
146020,35728
194644,101943
462847,169033
263158,46219
190305,116480
161541,91340
123197,54899
383454,102942
59748,30000
90022,50883
673434,258556
86970,44143
116883,36937
25584,8361
151127,91994
130339,64126
70531,36763
93747,54204
341210,111255
129644,123341
159844,73492
27413,20599
306692,87801
145708,63299
637430,149631
218563,72954
276320,63560
729200,189174
339570,150472
515601,120226
305992,100752
236605,74240
312633,83691
193909,100687
395092,241786
39800,18072
145800,94063
612910,153469
320180,42251
271203,96848
506780,112527
228870,96042
132070,87512
398015,178706
120090,87566
399215,241070
141277,78549
116805,79756
231880,114536
94918,55607
155025,86576
660738,114838
116055,88044
295156,126225
427976,104252
247002,76896
234661,119905
79019,37660
100658,52374
134573,49407
197672,72971
344190,111473
1606308,720007
273820,117996
96300,28822
144737,91021
136122,60567
646260,235384
136069,73707
56106,29421
57875,51076
130474,48243
68657,38945
335098,131890
172405,93381
72820,66933
109883,69962
51210,35140
119960,60407
149700,55732
544170,139663
281201,89024
1796730,195380
135124,85964
205266,77650
186550,72838
92556,56957
171251,63036
57769,35023
150384,69105
848240,197701
71852,42375
568492,116229
101922,56726
97470,46308
169410,108508
346780,70144
537600,136581
96151,46037
101700,57814
378401,114242
229075,104343
102715,67417
164841,91508
85745,52282
309092,105843
176883,66319
161185,37643
40226,25060
690190,168827
90844,36600
371698,40917
119461,71180
79040,55512
207993,73980
205627,150695
133779,67180
214563,167756
89888,57291
84693,45197
162774,46231
167506,90167
67502,55773
118228,136027
85420,59564
145195,86169
583168,193319
131810,92531
390226,153235
99078,60755
131780,58876
276776,93197
175800,108246
108313,61881
195240,78704
123955,58446
118920,77160
203275,90621
177839,82897
52479,28692
125948,40914
400862,77248
113693,59000
80541,52280
78238,38920
196975,74828
176410,66256
654500,96940
445855,187803
152360,50965
567050,109231
320311,131384
598948,162253
236626,128756
129798,64044
110290,52707
155173,44945
191806,118200
106268,58279
27795,18052
177473,85381
153353,98039
107023,61498
63064,49563
54640,33433
48905,36379
113531,94137
122720,73271
50065,41558
46709,39134
14691,7676
108395,80781
111439,51292
58798,39443
83747,55204
77740,30666
54381,41001
167412,65407
68465,48777
72861,52457
52245,29211
23855,19108
101256,64297
30294,19072
20688,16977
37078,24551
204550,41334
121627,70696
96612,38770
146828,72808
85551,53949
119894,86179
407053,98336
62435,34966
185577,103936
59604,44098
120596,60621
83193,64946
77651,45714
72210,45353
66352,51906
59672,40092
68125,45273
140611,54578
98965,59932
73224,49576
101802,53684
57553,44832
136527,73772
199545,115215
362818,146772
81712,54452
124676,66389
39732,20852
71375,51481
44202,37446
82184,42962
73674,50628
140115,62906
137855,65779
139238,56028
128552,62398
420920,90911
150360,60568
632120,115485
201280,61514
197287,86220
387164,137360
103880,57139
165906,66714
295600,86660
66252,16764
93020,37701
121390,59661
642630,269303
154990,68961
112128,53818
228063,132660
177157,77110
136980,111914
267630,123334
150096,48435
179509,115607
625096,177424
119103,61420
127471,76670
102080,61598
381970,84813
84976,62281
410000,143332
19581,14188
161279,70194
122469,61053
113292,56503
76052,45755
61470,39822
1280422,123790
49700,29275
111338,61638
103064,68956
134358,66762
37902,25690
44184,34952
48255,30774
64455,47534
51074,41795
40649,29480
96956,65412
76460,54181
42806,28900
148742,66790
146786,49207
183827,80835
580160,144611
270835,78280
149640,101626
255060,108830
143552,94463
269001,165207
447170,43149
117837,56980
121962,52567
542660,138516
285520,97832
58329,27433
242172,135028
455683,133573
55080,40257
119115,64447
80704,45648
128718,87250
169182,111407
116316,94619
164939,62576
125877,61471
35384,13394
493311,257754
187533,105886
140501,53480
457006,132644
303063,74519
114198,55932
188066,82725
132104,55992
95469,63506
174591,51335
72510,42893
128763,54694
193723,58865
95261,65976
78840,59506
269913,118253
44415,23822
159040,49284
132632,71216
149776,87336
177908,85454
140474,73957
194956,115961
142113,63837
30292,17311
433096,133517
23209,10373
257832,85551
321310,162706
69835,43559
71533,48086
128523,44456
32145,19830
76779,60887
112140,73067
78132,74931
119880,82724
234880,97444
71260,24057
700542,209661
122779,74226
206545,82825
2572904,83588
183299,83002
709057,179846
157518,40025
97670,48229
348130,82573
111856,73034
115752,51250
115635,52865
70276,41110
84044,39926
117453,80390
296776,105863
102895,45468
145026,73481
164417,61112
32456,17655
142039,72997
177079,66248
27032,23754
66723,41124
212613,72044
143433,83059
178755,74292
170549,106008
106187,79927
305760,123802
144754,76525
182180,101634
551113,135009
470266,60139
118926,73028
170326,95119
127481,91486
126558,86976
89364,40736
92381,33886
50194,35240
137490,76621
60212,48671
35790,23581
23973,16966
619553,103794
81129,47742
259540,86780
77132,56974
76256,44533
138866,57477
110203,57782
32587,25736
40922,15352
101605,47432
96801,37328
156331,55200
172023,83120
233160,69613
89809,70695
212164,106305
117807,67017
216999,52045
139936,66865
81006,48742
48397,26811
88740,52465
75012,71988
47686,24556
235347,98748
146450,79893
277002,117663
634643,161428
781605,117271
142184,102550
53537,33815
87082,40438
222985,64570
91722,46016
124504,66694
373733,102419
126550,56437
130352,58208
508366,86107
69189,32359
117166,84565
92564,62950
83936,65971
60609,31912
49855,38270
112662,60473
153619,98616
63195,45745
98855,53929
133500,88783
89682,44437
203542,75620
158596,107052
124648,87261
77141,50606
76683,62656
120766,54341
55488,48580
403672,81486
92919,80437
113587,52708
350394,57598
124236,102149
103409,75780
60429,23888
58073,34523
165293,65796
88795,53559
56785,37375
120109,62886
250708,74474
64268,40350
70109,42741
117308,67716
132435,109070
39430,42610
56847,47019
138640,88158
86347,66983
73210,50602
63205,46792
67172,40723
125030,74505
73333,70930
77379,65708
345612,167847
87704,54545
44135,33773
60399,57808
173128,69042
92171,60185
87817,56297
82639,54844
656099,173734
126269,43629
111535,70625
191681,80013
388172,77945
80955,50095
125482,66965
1114504,168004
425927,99762
92555,58062
1026150,113322
409990,92862
402466,91220
518318,105817
73245,39626
239675,63962
294250,90945
217102,75759
87229,53748
138895,59523
110604,54245
56557,36162
164218,64608
99178,38428
149967,48654
42691,25092
111945,56147
83216,55119
148414,86123
116292,57264
94735,60675
381169,128698
222868,75715
98302,32322
143419,53155
88286,43682
109223,73600
206700,63009
56481,42268
138570,56645
184244,96758
110090,76444
840250,104296
119264,60781
110475,79119
198952,162782
60909,30564
42895,37971
57045,37312
95775,50907
114340,41744
94514,57300
81167,30400
131870,75067
120629,55293
124565,53066
611276,98442
